lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score,quality
Group_1,1.0,0.95,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.96,1.0,1.0,0.95,1.0,1
Group_2,1.0,0.93,1.0,1.0,1.0,0.91,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.94,1.0,1.0,0.93,0.67,1
Group_3,0.7,0.87,1.0,1.0,0.7,0.85,1.0,0.5,0.7,0.89,1.0,0.5,0.7,0.88,1.0,0.5,0.7,0.86,1.0,0.5,0.7,0.88,1.0,0.5,0.82,0.67,0
Group_4,0.7,0.85,1.0,0.5,0.7,0.83,1.0,0.5,0.7,0.87,1.0,0.5,0.7,0.86,1.0,0.5,0.7,0.84,1.0,0.5,0.7,0.85,1.0,0.5,0.79,0.33,0
Group_5,1.0,0.94,1.0,1.0,1.0,0.91,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.96,1.0,1.0,1.0,0.93,1.0,1.0,1.0,0.95,1.0,1.0,0.94,0.67,1
Group_6,0.7,0.86,1.0,0.5,0.7,0.84,1.0,0.5,0.7,0.88,1.0,0.5,0.7,0.87,1.0,0.5,0.7,0.85,1.0,0.5,0.7,0.86,1.0,0.5,0.80,0.67,0
Group_7,1.0,0.92,1.0,1.0,1.0,0.90,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.91,1.0,1.0,1.0,0.93,1.0,1.0,0.90,1.0,1
Group_8,0.7,0.84,1.0,0.5,0.7,0.82,1.0,0.5,0.7,0.86,1.0,0.5,0.7,0.85,1.0,0.5,0.7,0.83,1.0,0.5,0.7,0.84,1.0,0.5,0.78,0.33,0
Group_9,1.0,0.91,1.0,1.0,1.0,0.89,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.93,1.0,1.0,1.0,0.90,1.0,1.0,1.0,0.92,1.0,1.0,0.89,0.67,1
Group_10,0.7,0.83,1.0,0.5,0.7,0.81,1.0,0.5,0.7,0.85,1.0,0.5,0.7,0.84,1.0,0.5,0.7,0.82,1.0,0.5,0.7,0.83,1.0,0.5,0.77,0.33,0